dataset_title,publication_link,dataset_link,donor,donor_age,donor_bmi,donor_sex,organ,sample,dataset
"Registered 8/21/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Lung,<https://gtexportal.org/home/tissue/Lung#FDonors>,,,Female,VHFLung,<https://gtexportal.org/home/tissue/Lung#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Lung#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Pancreas,<https://gtexportal.org/home/tissue/Pancreas#FDonors>,,,Female,VHFPancreas,<https://gtexportal.org/home/tissue/Pancreas#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Pancreas#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 1/2/2023, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Breast_Mammary_Tissue,<https://gtexportal.org/home/tissue/Breast#FDonors>,,,Female,VHFRightMammaryGland,<https://gtexportal.org/home/tissue/Breast#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Breast#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic,<https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic#FDonors>,,,Female,VHFSkinV1.1,<https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg,<https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg#FDonors>,,,Female,VHFSkinV1.1,<https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/18/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum,<https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum#FDonors>,,,Female,VHFSmallIntestine,<https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Spleen,<https://gtexportal.org/home/tissue/Spleen#FDonors>,,,Female,VHFSpleen,<https://gtexportal.org/home/tissue/Spleen#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Spleen#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Uterus,<https://gtexportal.org/home/tissue/Uterus#FDonors>,,,Female,VHFUterus,<https://gtexportal.org/home/tissue/Uterus#FDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Uterus#FDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Artery_Coronary,<https://gtexportal.org/home/tissue/Artery_Coronary#MDonors>,,,Male,VHMBloodVasculature,<https://gtexportal.org/home/tissue/Artery_Coronary#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Artery_Coronary#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Colon_Sigmoid,<https://gtexportal.org/home/tissue/Colon_Sigmoid#MDonors>,,,Male,VHMColon,<https://gtexportal.org/home/tissue/Colon_Sigmoid#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Colon_Sigmoid#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Colon_Transverse,<https://gtexportal.org/home/tissue/Colon_Transverse#MDonors>,,,Male,VHMColon,<https://gtexportal.org/home/tissue/Colon_Transverse#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Colon_Transverse#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Heart_Atrial_Appendage,<https://gtexportal.org/home/tissue/Heart_Atrial_Appendage#MDonors>,,,Male,VHMHeart,<https://gtexportal.org/home/tissue/Heart_Atrial_Appendage#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Heart_Atrial_Appendage#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/singleCellOverviewPage,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#MDonors>,,,Male,VHMHeart,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#MDonors_TissueBlock1>,<http://purl.org/ccf/GTEX-15RIE-5015-SM-H8L6X>
"Registered 8/16/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Heart_Left_Ventricle,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#MDonors>,,,Male,VHMHeart,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Heart_Left_Ventricle#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 4/4/2023, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Kidney_Cortex,<https://gtexportal.org/home/tissue/Kidney_Cortex#MDonors>,,,Male,VHMLeftKidney,<https://gtexportal.org/home/tissue/Kidney_Cortex#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Kidney_Cortex#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Liver,<https://gtexportal.org/home/tissue/Liver#MDonors>,,,Male,VHMLiver,<https://gtexportal.org/home/tissue/Liver#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Liver#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/21/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/singleCellOverviewPage,<https://gtexportal.org/home/tissue/Lung#MDonors>,,,Male,VHMLung,<https://gtexportal.org/home/tissue/Lung#MDonors_TissueBlock1>,<http://purl.org/ccf/GTEX-15CHR-5005-SM-H5JDT>
"Registered 8/21/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Lung,<https://gtexportal.org/home/tissue/Lung#MDonors>,,,Male,VHMLung,<https://gtexportal.org/home/tissue/Lung#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Lung#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/21/2021, Kristin Ardlie, GTEx",,https://gtexportal.org/home/singleCellOverviewPage,<https://gtexportal.org/home/tissue/Lung#MDonors>,,,Male,VHMLung,<https://gtexportal.org/home/tissue/Lung#MDonors_TissueBlock1>,<http://purl.org/ccf/GTEX-1HSMQ-5005-SM-GKSJF>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Pancreas,<https://gtexportal.org/home/tissue/Pancreas#MDonors>,,,Male,VHMPancreas,<https://gtexportal.org/home/tissue/Pancreas#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Pancreas#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Prostate,<https://gtexportal.org/home/tissue/Prostate#MDonors>,,,Male,VHMProstate,<https://gtexportal.org/home/tissue/Prostate#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Prostate#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic,<https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic#MDonors>,,,Male,VHMSkinV1.1,<https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Skin_Not_Sun_Exposed_Suprapubic#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/25/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg,<https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg#MDonors>,,,Male,VHMSkinV1.1,<https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Skin_Sun_Exposed_Lower_leg#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 0/18/2022, Kristin Ardlie, GTEx",,https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum,<https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum#MDonors>,,,Male,VHMSmallIntestine,<https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Small_Intestine_Terminal_Ileum#MDonors_TissueBlock1_TissueBlock1_Dataset1>
"Registered 8/16/2021, Kristin  Ardlie, GTEx",,https://gtexportal.org/home/tissue/Spleen,<https://gtexportal.org/home/tissue/Spleen#MDonors>,,,Male,VHMSpleen,<https://gtexportal.org/home/tissue/Spleen#MDonors_TissueBlock1>,<https://gtexportal.org/home/tissue/Spleen#MDonors_TissueBlock1_TissueBlock1_Dataset1>
